id,word,article,translation,level,category,plural,example_de,example_es,has_article,part_of_speech
1,Tisch,der,mesa,A1,casa,Tische,Der Tisch ist groß.,La mesa es grande.,True,noun
2,Stuhl,der,silla,A1,casa,Stühle,Der Stuhl ist bequem.,La silla es cómoda.,True,noun
3,Schrank,der,armario,A1,casa,Schränke,Der Schrank ist alt.,El armario es viejo.,True,noun
4,Kühlschrank,der,nevera,A1,casa,Kühlschränke,Der Kühlschrank ist voll.,La nevera está llena.,True,noun
5,Herd,der,cocina/estufa,A1,casa,Herde,Der Herd ist neu.,La cocina es nueva.,True,noun
6,Teppich,der,alfombra,A1,casa,Teppiche,Der Teppich ist rot.,La alfombra es roja.,True,noun
7,Boden,der,suelo,A1,casa,Böden,Der Boden ist sauber.,El suelo está limpio.,True,noun
8,Garten,der,jardín,A1,casa,Gärten,Der Garten ist schön.,El jardín es bonito.,True,noun
9,Balkon,der,balcón,A1,casa,Balkone,Der Balkon ist klein.,El balcón es pequeño.,True,noun
10,Mann,der,hombre,A1,personas,Männer,Der Mann arbeitet heute.,El hombre trabaja hoy.,True,noun
11,Vater,der,padre,A1,familia,Väter,Mein Vater ist zu Hause.,Mi padre está en casa.,True,noun
12,Bruder,der,hermano,A1,familia,Brüder,Mein Bruder wohnt in Berlin.,Mi hermano vive en Berlín.,True,noun
13,Sohn,der,hijo,A1,familia,Söhne,Ihr Sohn ist fünf Jahre alt.,Su hijo tiene cinco años.,True,noun
14,Freund,der,amigo,A1,personas,Freunde,Mein Freund kommt morgen.,Mi amigo viene mañana.,True,noun
15,Lehrer,der,profesor,A1,trabajo,Lehrer,Der Lehrer erklärt die Aufgabe.,El profesor explica el ejercicio.,True,noun
16,Arzt,der,médico,A1,trabajo,Ärzte,Der Arzt arbeitet im Krankenhaus.,El médico trabaja en el hospital.,True,noun
17,Tag,der,día,A1,tiempo,Tage,Der Tag ist lang.,El día es largo.,True,noun
18,Morgen,der,mañana,A1,tiempo,Morgen,Morgen habe ich Zeit.,Mañana tengo tiempo.,True,noun
19,Abend,der,tarde/noche,A1,tiempo,Abende,Der Abend ist ruhig.,La tarde es tranquila.,True,noun
20,Montag,der,lunes,A1,tiempo,Montage,Am Montag arbeite ich.,El lunes trabajo.,True,noun
21,Sommer,der,verano,A1,tiempo,Sommer,Der Sommer ist warm.,El verano es cálido.,True,noun
22,Frau,die,mujer,A1,personas,Frauen,Die Frau wartet draußen.,La mujer espera afuera.,True,noun
23,Mutter,die,madre,A1,familia,Mütter,Meine Mutter kocht gern.,A mi madre le gusta cocinar.,True,noun
24,Schwester,die,hermana,A1,familia,Schwestern,Meine Schwester studiert.,Mi hermana estudia.,True,noun
25,Tochter,die,hija,A1,familia,Töchter,Ihre Tochter ist zehn Jahre alt.,Su hija tiene diez años.,True,noun
26,Freundin,die,amiga,A1,personas,Freundinnen,Meine Freundin spricht Deutsch.,Mi amiga habla alemán.,True,noun
27,Lehrerin,die,profesora,A1,trabajo,Lehrerinnen,Die Lehrerin ist nett.,La profesora es amable.,True,noun
28,Arbeit,die,trabajo,A1,trabajo,Arbeiten,Die Arbeit beginnt um acht.,El trabajo empieza a las ocho.,True,noun
29,Schule,die,escuela,A1,educación,Schulen,Die Schule ist neben dem Park.,La escuela está al lado del parque.,True,noun
30,Universität,die,universidad,A1,educación,Universitäten,Die Universität ist groß.,La universidad es grande.,True,noun
31,Stadt,die,ciudad,A1,lugares,Städte,Die Stadt ist sehr schön.,La ciudad es muy bonita.,True,noun
32,Straße,die,calle,A1,lugares,Straßen,Die Straße ist lang.,La calle es larga.,True,noun
33,Tür,die,puerta,A1,casa,Türen,Die Tür ist offen.,La puerta está abierta.,True,noun
34,Fenster,das,ventana,A1,casa,Fenster,Das Fenster ist geschlossen.,La ventana está cerrada.,True,noun
35,Haus,das,casa,A1,casa,Häuser,Das Haus ist alt.,La casa es vieja.,True,noun
36,Zimmer,das,habitación,A1,casa,Zimmer,Das Zimmer ist hell.,La habitación es luminosa.,True,noun
37,Bett,das,cama,A1,casa,Betten,Das Bett ist bequem.,La cama es cómoda.,True,noun
38,Bad,das,baño,A1,casa,Bäder,Das Bad ist klein.,El baño es pequeño.,True,noun
39,Küche,die,cocina,A1,casa,Küchen,Die Küche ist sauber.,La cocina está limpia.,True,noun
40,Buch,das,libro,A1,educación,Bücher,Das Buch ist interessant.,El libro es interesante.,True,noun
41,Kind,das,niño/niña,A1,familia,Kinder,Das Kind spielt im Garten.,El niño juega en el jardín.,True,noun
42,Auto,das,coche,A1,transporte,Autos,Das Auto ist neu.,El coche es nuevo.,True,noun
43,Fahrrad,das,bicicleta,A1,transporte,Fahrräder,Das Fahrrad steht draußen.,La bicicleta está afuera.,True,noun
44,Handy,das,móvil,A1,tecnología,Handys,Mein Handy ist kaputt.,Mi móvil está roto.,True,noun
45,Telefon,das,teléfono,A1,tecnología,Telefone,Das Telefon klingelt.,El teléfono suena.,True,noun
46,Wasser,das,agua,A1,comida,—,Das Wasser ist kalt.,El agua está fría.,True,noun
47,Brot,das,pan,A1,comida,Brote,Das Brot ist frisch.,El pan está fresco.,True,noun
48,Essen,das,comida,A1,comida,—,Das Essen ist lecker.,La comida está rica.,True,noun
49,Frühstück,das,desayuno,A1,comida,Frühstücke,Das Frühstück ist fertig.,El desayuno está listo.,True,noun
50,Getränk,das,bebida,A1,comida,Getränke,Das Getränk ist kalt.,La bebida está fría.,True,noun
51,gehen,,ir,A1,verbos,—,Ich gehe nach Hause.,Voy a casa.,False,verb
52,kommen,,venir,A1,verbos,—,Ich komme morgen.,Vengo mañana.,False,verb
53,sein,,ser/estar,A1,verbos,—,Ich bin müde.,Estoy cansado/a.,False,verb
54,haben,,tener,A1,verbos,—,Ich habe ein Auto.,Tengo un coche.,False,verb
55,machen,,hacer,A1,verbos,—,Was machst du heute?,¿Qué haces hoy?,False,verb
56,arbeiten,,trabajar,A1,verbos,—,Ich arbeite in Zürich.,Trabajo en Zúrich.,False,verb
57,lernen,,aprender/estudiar,A1,verbos,—,Ich lerne Deutsch.,Aprendo alemán.,False,verb
58,sprechen,,hablar,A1,verbos,—,Wir sprechen Deutsch.,Hablamos alemán.,False,verb
59,essen,,comer,A1,verbos,—,Wir essen zusammen.,Comemos juntos.,False,verb
60,trinken,,beber,A1,verbos,—,Ich trinke Kaffee.,Bebo café.,False,verb
61,schlafen,,dormir,A1,verbos,—,Das Kind schläft.,El niño duerme.,False,verb
62,lesen,,leer,A1,verbos,—,Ich lese ein Buch.,Leo un libro.,False,verb
63,schreiben,,escribir,A1,verbos,—,Sie schreibt eine E-Mail.,Ella escribe un correo.,False,verb
64,kaufen,,comprar,A1,verbos,—,Ich kaufe Brot.,Compro pan.,False,verb
65,wohnen,,vivir/residir,A1,verbos,—,Ich wohne in Bern.,Vivo en Berna.,False,verb
66,fahren,,ir/conducir,A1,verbos,—,Wir fahren mit dem Bus.,Vamos en autobús.,False,verb
67,sehen,,ver,A1,verbos,—,Ich sehe einen Film.,Veo una película.,False,verb
68,hören,,oír/escuchar,A1,verbos,—,Ich höre Musik.,Escucho música.,False,verb
69,finden,,encontrar,A1,verbos,—,Ich finde den Schlüssel.,Encuentro la llave.,False,verb
70,brauchen,,necesitar,A1,verbos,—,Ich brauche Hilfe.,Necesito ayuda.,False,verb
71,möchten,,querer,A1,verbos,—,Ich möchte einen Kaffee.,Quisiera un café.,False,verb
72,können,,poder/saber,A1,verbos,—,Ich kann Deutsch sprechen.,Puedo hablar alemán.,False,verb
73,müssen,,tener que,A1,verbos,—,Ich muss arbeiten.,Tengo que trabajar.,False,verb
74,wollen,,querer,A1,verbos,—,Ich will nach Hause.,Quiero ir a casa.,False,verb
75,groß,,grande,A1,adjetivos,—,Das Haus ist groß.,La casa es grande.,False,adjective
76,klein,,pequeño,A1,adjetivos,—,Die Wohnung ist klein.,El piso es pequeño.,False,adjective
77,gut,,bueno,A1,adjetivos,—,Das Essen ist gut.,La comida está buena.,False,adjective
78,schlecht,,malo,A1,adjetivos,—,Das Wetter ist schlecht.,El tiempo es malo.,False,adjective
79,neu,,nuevo,A1,adjetivos,—,Das Auto ist neu.,El coche es nuevo.,False,adjective
80,alt,,viejo,A1,adjetivos,—,Das Haus ist alt.,La casa es vieja.,False,adjective
81,schön,,bonito,A1,adjetivos,—,Die Stadt ist schön.,La ciudad es bonita.,False,adjective
82,teuer,,caro,A1,adjetivos,—,Das Hotel ist teuer.,El hotel es caro.,False,adjective
83,billig,,barato,A1,adjetivos,—,Das Ticket ist billig.,El billete es barato.,False,adjective
84,schnell,,rápido,A1,adjetivos,—,Der Zug ist schnell.,El tren es rápido.,False,adjective
85,langsam,,lento,A1,adjetivos,—,Der Bus ist langsam.,El autobús es lento.,False,adjective
86,wichtig,,importante,A2,adjetivos,—,Das ist sehr wichtig.,Eso es muy importante.,False,adjective
87,möglich,,posible,A2,adjetivos,—,Das ist heute möglich.,Eso es posible hoy.,False,adjective
88,einfach,,fácil/simple,A2,adjetivos,—,Die Aufgabe ist einfach.,El ejercicio es fácil.,False,adjective
89,schwierig,,difícil,A2,adjetivos,—,Die Prüfung ist schwierig.,El examen es difícil.,False,adjective
90,interessant,,interesante,A2,adjetivos,—,Der Film ist interessant.,La película es interesante.,False,adjective
91,langweilig,,aburrido,A2,adjetivos,—,Der Kurs ist langweilig.,El curso es aburrido.,False,adjective
92,gesund,,sano,A2,adjetivos,—,Obst ist gesund.,La fruta es sana.,False,adjective
93,krank,,enfermo,A2,adjetivos,—,Ich bin krank.,Estoy enfermo/a.,False,adjective
94,müde,,cansado,A1,adjetivos,—,Ich bin müde.,Estoy cansado/a.,False,adjective
95,glücklich,,feliz,A2,adjetivos,—,Sie ist glücklich.,Ella está feliz.,False,adjective
96,traurig,,triste,A2,adjetivos,—,Er ist traurig.,Él está triste.,False,adjective
97,Wohnung,die,piso/apartamento,A1,casa,Wohnungen,Die Wohnung hat drei Zimmer.,El piso tiene tres habitaciones.,True,noun
98,Miete,die,alquiler,A2,casa,Mieten,Die Miete ist hoch.,El alquiler es alto.,True,noun
99,Nachbar,der,vecino,A2,personas,Nachbarn,Der Nachbar ist freundlich.,El vecino es amable.,True,noun
100,Nachbarin,die,vecina,A2,personas,Nachbarinnen,Die Nachbarin hilft uns.,La vecina nos ayuda.,True,noun
101,Familie,die,familia,A1,familia,Familien,Meine Familie lebt in Spanien.,Mi familia vive en España.,True,noun
102,Eltern,die,padres,A1,familia,—,Meine Eltern kommen morgen.,Mis padres vienen mañana.,True,noun
103,Großvater,der,abuelo,A2,familia,Großväter,Mein Großvater liest viel.,Mi abuelo lee mucho.,True,noun
104,Großmutter,die,abuela,A2,familia,Großmütter,Meine Großmutter kocht gern.,A mi abuela le gusta cocinar.,True,noun
105,Geburtstag,der,cumpleaños,A1,tiempo,Geburtstage,Heute habe ich Geburtstag.,Hoy es mi cumpleaños.,True,noun
106,Urlaub,der,vacaciones,A1,viajes,Urlaube,Wir machen im Sommer Urlaub.,Nos vamos de vacaciones en verano.,True,noun
107,Reise,die,viaje,A2,viajes,Reisen,Die Reise dauert drei Tage.,El viaje dura tres días.,True,noun
108,Flugzeug,das,avión,A1,transporte,Flugzeuge,Das Flugzeug landet bald.,El avión aterriza pronto.,True,noun
109,Bahnhof,der,estación de tren,A1,transporte,Bahnhöfe,Der Bahnhof ist im Zentrum.,La estación está en el centro.,True,noun
110,Haltestelle,die,parada,A2,transporte,Haltestellen,Die Haltestelle ist dort.,La parada está allí.,True,noun
111,Zug,der,tren,A1,transporte,Züge,Der Zug kommt um zehn Uhr.,El tren llega a las diez.,True,noun
112,Bus,der,autobús,A1,transporte,Busse,Der Bus ist voll.,El autobús está lleno.,True,noun
113,Fahrkarte,die,billete,A2,transporte,Fahrkarten,Ich brauche eine Fahrkarte.,Necesito un billete.,True,noun
114,Rechnung,die,factura,A2,compras,Rechnungen,Die Rechnung kommt per E-Mail.,La factura llega por correo.,True,noun
115,Preis,der,precio,A1,compras,Preise,Der Preis ist zu hoch.,El precio es demasiado alto.,True,noun
